Temporal_Rep,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FLA_1,FLA_2,FLA_3,FLA_4,FLA_5,FLA_6,FLA_7,FLA_8,FLA_9,Total_FLA,Mean_FLA,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,FPLD_8,FPLD_9,Total_FPLD,Mean_PLD,Notes
3,A102,A102,MN_FY_HY,N,Y,Y,M,3,7.2,20.115,17.135,19.663,NA,NA,NA,NA,NA,NA,56.913,18.971,6,6,1,NA,NA,NA,NA,NA,NA,13,4.3,NA
3,A103,A103,MN_FY_HY,N,Y,Y,M,5,10.0,19.753,NA,39.661,21.339,12.093,NA,NA,NA,NA,92.846,18.5692,15,10,3,4.0,3.0,NA,NA,NA,NA,35,7,NA
3,A105,A105,MN_FY_HY,N,Y,Y,M,6,14.5,14.815,10.35,20.205,29.368,24.022,10.732,NA,NA,NA,109.492,18.24866667,30,45,3,1.0,1.0,0.0,NA,NA,NA,80,13.3,NA
3,A106,A106,MN_FY_HY,N,Y,Y,M,6,13.0,11.174,25.255,24.164,11.16,24.138,13.289,NA,NA,NA,109.18,18.19666667,65,30,6,1.0,0.0,1.0,NA,NA,NA,103,17.2,NA
4,A122,A121_A126,MY_FY_HY,Y,Y,Y,K,5,8.6,5.669,NA,10.908,15.272,11.948,NA,NA,NA,NA,43.797,8.7594,1,50,5,3.0,1.0,NA,NA,NA,NA,60,12,NA
4,A137,A137,MN_FY_HN,N,Y,N,M,6,12.5,10.501,12.922,18.76,19.319,15.421,3.835,NA,NA,NA,80.758,13.45966667,12,20,3,1.0,0.0,0.0,N/A,NA,NA,36,6,NA
4,A139,A139,MN_FY_HN,N,Y,N,M,9,16.5,NA,14.645,28.696,34.214,35.361,27.124,23.471,6.361,15.422,140.04,15.56,60,30,15,1.0,1.0,0.0,0.0,0.0,0.0,107,11.9,NA
4,A141,A141,MN_FY_HN,N,Y,N,M,7,16.2,14.534,3.817,3.822,1.037,0.579,0.387,0.003,NA,NA,24.176,3.453714286,30,3,4,4.0,0.0,0.0,2.0,NA,NA,43,6.1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1.0,NA,NA,N,N,N,K,4,8.4,25.503,32.229,28.121,24.928,NA,NA,NA,NA,NA,110.781,27.69525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2.0,NA,NA,N,N,N,K,4,6.9,17.428,22.238,19.141,14.068,NA,NA,NA,NA,NA,72.875,18.21875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3.0,NA,NA,N,N,N,K,4,7.2,25.355,26.832,27.927,21.69,NA,NA,NA,NA,NA,101.804,25.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4.0,NA,NA,N,N,N,K,5,7.9,26.106,35.547,32.287,29.044,15.018,NA,NA,NA,NA,138.002,27.6004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5.0,NA,NA,N,N,N,K,4,5.5,10.681,13.923,15.037,9.939,NA,NA,NA,NA,NA,49.58,12.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,6.0,NA,NA,N,N,N,K,4,7.0,22.989,21.877,11.349,23.668,NA,NA,NA,NA,NA,79.883,19.97075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7.0,NA,NA,N,N,N,K,5,8.4,23.668,29.349,28.277,24.016,12.571,NA,NA,NA,NA,117.881,23.5762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,8.0,NA,NA,N,N,N,K,3,6.1,17.712,17.355,15.411,NA,NA,NA,NA,NA,NA,50.478,16.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,9.0,NA,NA,N,N,N,K,4,6.7,13.237,16.208,18.483,17.975,NA,NA,NA,NA,NA,65.903,16.47575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
