Temporal_Rep,State,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,Total_FPLD,Mean_PLD,FSN,FSL,ISMM,ISM,FSMM,FSM,RGR,Notes
1,FL,S3,NA,MN_FY_HN,N,Y,N,K,4,11.2,0,0,0.0,8.0,NA,NA,NA,8,2,1,NA,NA,0.0688,NA,0.1391,0.703989354,NA
1,FL,S4,NA,MN_FY_HN,N,Y,N,K,6,14.9,0,0,0.0,12.0,0.0,1.0,NA,13,2.166666667,1,NA,NA,0.0814,NA,0.1961,0.8792494602,NA
1,FL,S5,NA,MN_FY_HN,N,Y,N,K,5,10.4,0,0,0.0,0.0,0.0,NA,NA,0,0,0,NA,NA,0.0727,NA,NA,NA,Caterpillar not found
1,FL,S6,NA,MN_FY_HN,N,Y,N,K,5,9.5,10,0,0.0,0.0,0.0,NA,NA,10,2,0,NA,NA,0.0447,NA,NA,NA,Caterpillar not found
1,FL,S7,NA,MN_FY_HN,N,Y,N,K,5,11.7,0,0,0.0,5.0,NA,NA,NA,5,1,1,NA,NA,0.0843,NA,0.1613,0.6488841201,NA
1,FL,S8,NA,MN_FY_HN,N,Y,N,K,6,10.7,0,1,1.0,0.0,0.0,0.0,NA,2,0.3333333333,0,NA,NA,0.0575,NA,NA,NA,Caterpillar not found
1,FL,S9,NA,MN_FY_HN,N,Y,N,K,6,11.5,0,0,12.0,0.0,0.0,5.0,NA,17,2.833333333,1,NA,NA,0.0697,NA,0.1751,0.9211569215,NA
1,FL,S10,NA,MN_FY_HN,N,Y,N,K,5,11.2,0,0,0.0,0.0,20.0,NA,NA,20,4,1,NA,NA,0.0496,NA,0.2192,1.485993721,NA
1,FL,S11,NA,MN_FY_HN,N,Y,N,K,7,14.1,0,0,0.0,1.0,0.0,0.0,0.0,1,0.1428571429,0,NA,NA,0.1938,NA,NA,NA,Caterpillar not found
1,FL,S12,NA,MN_FY_HN,N,Y,N,K,5,11.8,0,0,8.0,1.0,1.0,NA,NA,10,2,1,NA,NA,0.0631,NA,0.1462,0.8402547778,NA
1,FL,S13,NA,MN_FY_HN,N,Y,N,K,6,11.7,0,0,15.0,0.0,0.0,0.0,NA,15,2.5,1,NA,NA,0.0663,NA,0.1696,0.9392528262,NA
1,FL,S14,NA,MN_FY_HN,N,Y,N,K,6,11.4,0,0,0.0,0.0,0.0,0.0,NA,0,0,0,NA,NA,0.0843,NA,NA,NA,Caterpillar not found
1,FL,S15,NA,MN_FY_HN,N,Y,N,K,5,13.1,0,0,0.0,0.0,0.0,NA,NA,0,0,0,S,NA,0.0449,NA,NA,NA,Caterpillar not found
1,FL,S16,NA,MN_FY_HN,N,Y,N,K,6,10.6,0,0,0.0,0.0,2.0,0.0,NA,2,0.3333333333,0,NA,NA,0.069,NA,0.2062,1.094740067,NA
1,FL,S17,NA,MN_FY_HN,N,Y,N,K,5,12.1,0,0,1.0,0.0,0.0,NA,NA,1,0.2,0,NA,NA,0.0391,NA,NA,NA,Caterpillar not found
1,FL,S18,NA,MN_FY_HN,N,Y,N,K,6,13,0,0,0.0,0.0,8.0,0.0,NA,8,1.333333333,0,NA,NA,0.1025,NA,NA,NA,Caterpillar not found
1,FL,S19,S19_S24,MY_FN_HN,Y,N,N,K,5,9,1,0,0.0,0.0,0.0,NA,NA,1,0.2,0,NA,0.4378,0.08664,0.61455,0.553123,1.853818797,NA
1,FL,S20,S19_S24,MY_FN_HN,Y,N,N,K,5,8.6,0,45,0.0,1.0,0.0,NA,NA,46,9.2,0,NA,0.4378,0.09194,0.61455,0.63214,1.927974698,NA
1,FL,S21,S19_S24,MY_FN_HN,Y,N,N,K,5,10,0,0,0.0,15.0,0.0,NA,NA,15,3,0,NA,0.5153,0.10077,0.61455,0.65321,1.869057978,NA
1,FL,S22,S19_S24,MY_FN_HN,Y,N,N,K,5,9.3,25,12,2.0,0.0,0.0,NA,NA,39,7.8,0,NA,0.4378,0.14683,0.61455,0.65433,1.494336356,NA
1,FL,S23,S19_S24,MY_FN_HN,Y,N,N,K,5,8.6,3,0,0.0,0.0,0.0,NA,NA,3,0.6,0,NA,0.5153,0.1273,0.61455,0.65312,1.635214374,NA
1,FL,S24,S19_S24,MY_FN_HN,Y,N,N,K,5,11.2,0,0,3.0,0.0,0.0,NA,NA,3,0.6,0,NA,0.4378,0.1056,0.61455,0.12366,0.1578774929,NA
1,FL,S25,S25_S30,MY_FN_HN,Y,N,N,K,6,9.8,0,0,0.0,0.0,0.0,0.0,NA,0,0,0,NA,0.4378,0.10279,0.61455,0.32152,1.140371678,NA
1,FL,S26,S25_S30,MY_FN_HN,Y,N,N,K,5,8.4,12,10,8.0,20.0,0.0,NA,NA,50,10,1,NA,0.4378,0.12734,0.61455,0.12345,-0.0310244588,NA
1,FL,S27,S25_S30,MY_FN_HN,Y,N,N,K,6,10.7,2,1,0.0,12.0,0.0,0.0,NA,15,2.5,1,NA,0.323,0.06699,0.61455,0.22365,1.205538975,NA
1,FL,S28,S25_S30,MY_FN_HN,Y,N,N,K,6,10.2,3,30,5.0,8.0,0.0,0.0,NA,46,7.666666667,1,NA,0.5153,0.1047,0.61455,0.124533,0.1734716231,NA
1,FL,S29,S25_S30,MY_FN_HN,Y,N,N,K,3,9.1,0,10,0.0,NA,NA,NA,NA,10,3.333333333,0,NA,0.4378,0.10611,0.61455,0.54223,1.631213974,NA
